date,open,high,low,close,volume,turnover,change
2025-07-31,27.11,27.11,26.39,26.73,1973378,0,0.0
2025-08-04,26.97,27.64,26.53,27.55,2639149,0,0.82
2025-08-05,27.84,28.27,27.55,28.03,3945132,0,0.48
2025-08-06,28.08,28.8,27.93,28.51,4524955,0,0.48
2025-08-07,29.0,29.29,28.13,28.8,5843830,0,0.29
2025-08-08,28.66,29.29,28.22,28.32,6334149,0,-0.48
2025-08-11,27.84,28.8,27.45,28.61,4109717,0,0.29
2025-08-12,28.56,28.76,27.93,27.93,3494417,0,-0.68
2025-08-13,28.13,28.18,27.21,27.4,3610119,0,-0.53
2025-08-14,27.55,28.71,27.55,28.22,4477176,0,0.82
2025-08-15,28.47,28.71,28.03,28.51,3789730,0,0.29
2025-08-18,28.66,29.1,28.27,28.27,3303912,0,-0.25
2025-08-19,28.27,28.37,27.53,27.58,2399032,0,-0.69
2025-08-20,27.43,27.53,26.74,26.79,2925320,0,-0.79
2025-08-21,26.74,27.33,26.74,27.14,1444368,0,0.34
2025-08-22,27.04,28.51,27.04,27.63,3622400,0,0.49
2025-08-25,27.92,28.22,27.68,27.83,1542141,0,0.2
2025-08-26,27.68,28.07,27.68,27.92,1608579,0,0.1
2025-08-27,27.92,28.42,27.92,28.17,1984770,0,0.25
2025-08-28,28.37,28.71,28.17,28.61,2619481,0,0.44
2025-08-29,28.81,28.91,28.22,28.22,2166670,0,-0.39
2025-09-01,28.51,28.51,27.24,27.38,2650057,0,-0.84
2025-09-02,27.48,27.73,26.84,27.09,1874715,0,-0.29
2025-09-03,27.04,27.78,27.04,27.48,2255482,0,0.39
2025-09-04,27.68,28.51,27.68,28.17,3044302,0,0.69
2025-09-05,28.17,28.32,27.78,27.97,1894507,0,-0.2
2025-09-08,27.97,28.51,27.97,27.97,2090494,0,0.0
2025-09-09,28.07,28.61,27.88,28.47,3526243,0,0.49
2025-09-10,28.71,28.71,28.12,28.12,2091082,0,-0.34
2025-09-11,28.32,30.92,28.32,29.5,32935500,0,1.38
2025-09-12,29.84,32.25,29.2,32.1,55852267,0,2.61
2025-09-15,32.5,32.94,31.12,31.66,41545687,0,-0.44
2025-09-16,31.66,31.66,29.6,29.6,21054379,0,-2.06
2025-09-17,29.79,30.14,29.2,29.6,11824300,0,0.0
2025-09-18,29.74,29.94,29.4,29.45,6195508,0,-0.15
2025-09-19,29.74,29.84,28.96,29.01,7030778,0,-0.44
2025-09-22,29.06,29.6,28.86,29.3,3516407,0,0.29
2025-09-23,29.5,30.19,29.5,29.6,6433038,0,0.29
2025-09-24,29.6,30.48,29.2,29.99,7721573,0,0.39
2025-09-25,30.04,31.42,30.04,30.43,12505245,0,0.44
2025-09-26,30.24,30.43,28.86,29.1,7604719,0,-1.33
2025-09-30,29.6,30.04,29.4,29.94,3824310,0,0.84
2025-10-01,30.09,31.17,29.94,30.68,8353546,0,0.74
