date,open,high,low,close,volume,turnover,change
2025-07-30,56.18,57.07,55.39,55.69,66000,0,0.0
2025-07-31,55.79,55.79,54.9,55.09,43000,0,-0.59
2025-08-04,54.9,56.38,54.9,55.49,42000,0,0.4
2025-08-05,56.78,56.88,56.28,56.28,72000,0,0.79
2025-08-06,55.79,56.38,52.92,55.39,141000,0,-0.89
2025-08-07,55.89,56.18,54.01,54.2,97100,0,-1.19
2025-08-08,54.6,55.69,53.91,54.01,74000,0,-0.2
2025-08-11,54.01,54.01,53.02,53.02,92393,0,-0.99
2025-08-12,53.31,55.09,53.22,53.81,101000,0,0.79
2025-08-13,54.11,59.15,54.11,57.47,1142320,0,3.66
2025-08-14,58.36,58.85,57.47,57.67,288000,0,0.2
2025-08-15,58.75,59.45,57.57,57.96,209024,0,0.3
2025-08-18,57.96,59.35,57.96,58.36,152180,0,0.4
2025-08-19,59.25,59.64,57.67,57.86,169090,0,-0.49
2025-08-20,57.67,57.86,55.89,56.08,143250,0,-1.78
2025-08-21,56.58,58.36,56.58,58.06,103020,0,1.98
2025-08-22,59.05,59.05,57.07,57.07,82000,0,-0.99
2025-08-25,57.47,59.84,57.47,57.96,208500,0,0.89
2025-08-26,57.96,59.55,57.96,59.45,170533,0,1.48
2025-08-27,59.94,60.63,58.56,58.95,214025,0,-0.49
2025-08-28,59.35,64.79,59.05,63.3,2185011,0,4.35
2025-08-29,62.71,62.81,61.33,61.33,498100,0,-1.98
2025-09-01,61.33,62.32,60.14,60.83,328110,0,-0.49
2025-09-02,61.03,61.72,59.64,60.14,212076,0,-0.69
2025-09-03,61.62,63.01,60.73,62.91,439325,0,2.77
2025-09-04,63.6,63.6,61.92,62.51,275211,0,-0.4
2025-09-05,63.5,63.5,61.52,62.22,224020,0,-0.3
2025-09-08,62.12,63.21,61.82,62.32,202050,0,0.1
2025-09-09,62.41,62.41,60.04,60.24,244025,0,-2.08
2025-09-10,61.92,61.92,59.84,60.44,153000,0,0.2
2025-09-11,60.83,60.93,57.86,58.16,275230,0,-2.27
2025-09-12,58.26,60.53,58.26,59.45,119000,0,1.29
2025-09-15,60.04,65.38,58.75,64.39,1621110,0,4.95
2025-09-16,62.81,65.28,62.12,64.49,853360,0,0.1
2025-09-17,64.49,67.16,64.39,64.79,1293163,0,0.3
2025-09-18,64.79,71.22,64.79,65.08,3925156,0,0.3
2025-09-19,66.17,67.95,65.28,65.58,1630342,0,0.49
2025-09-22,65.78,67.76,63.8,67.16,845318,0,1.58
2025-09-23,66.27,66.96,64.19,65.28,593043,0,-1.88
2025-09-24,65.28,65.98,63.5,64.99,227000,0,-0.3
2025-09-25,65.48,67.76,64.39,64.39,444063,0,-0.59
2025-09-26,64.29,64.29,62.02,62.12,228000,0,-2.27
2025-09-30,62.32,67.26,61.92,63.8,672035,0,1.68
2025-10-01,63.8,65.48,63.3,63.6,155100,0,-0.2
2025-10-02,64.19,64.99,62.12,62.32,168233,0,-1.29
2025-10-03,62.51,63.21,61.62,61.82,141030,0,-0.49
2025-10-07,62.02,62.71,61.72,62.71,98001,0,0.89
2025-10-08,62.32,62.32,60.53,61.33,135100,0,-1.38
2025-10-09,61.52,62.22,61.33,61.82,85000,0,0.49
2025-10-13,60.34,60.63,58.36,60.63,144001,0,-1.19
2025-10-14,60.83,61.72,58.85,58.85,173080,0,-1.78
2025-10-15,58.95,60.04,58.36,59.25,104000,0,0.4
2025-10-16,59.84,60.83,59.35,60.14,77000,0,0.89
2025-10-17,60.63,60.63,59.74,60.24,56001,0,0.1
2025-10-20,61.23,62.61,60.53,61.42,136099,0,1.19
2025-10-21,61.52,67.46,61.52,66.07,1568048,0,4.65
2025-10-22,65.38,66.17,64.59,64.59,216276,0,-1.48
2025-10-23,64.99,67.06,63.4,64.29,234058,0,-0.3
2025-10-27,65.18,65.18,62.32,62.32,238363,0,-1.98
2025-10-28,62.71,62.71,61.13,61.33,110020,0,-0.99
2025-10-29,61.42,61.42,60.34,60.73,141002,0,-0.59
2025-10-30,60.73,60.73,59.35,59.35,151102,0,-1.38
2025-10-31,59.35,59.84,58.95,59.45,78011,0,0.1
2025-11-03,60.63,60.83,59.35,59.35,92000,0,-0.1
2025-11-04,59.45,59.84,56.97,57.77,167001,0,-1.58
2025-11-05,57.37,57.57,56.18,56.68,124000,0,-1.09
2025-11-06,57.77,59.25,57.57,59.15,134000,0,2.47
2025-11-07,59.15,59.74,58.56,59.25,99100,0,0.1
2025-11-10,59.74,59.94,57.96,59.94,129099,0,0.69
2025-11-11,59.55,61.23,59.55,59.74,96000,0,-0.2
2025-11-12,59.94,61.23,59.94,60.53,115015,0,0.79
2025-11-13,60.63,61.23,60.04,61.03,100002,0,0.49
2025-11-14,59.94,60.34,59.35,59.35,91005,0,-1.68
2025-11-17,60.04,60.04,58.46,58.85,65000,0,-0.49
2025-11-18,58.85,59.05,56.78,57.77,135097,0,-1.09
2025-11-19,57.77,57.77,55.39,56.48,115060,0,-1.29
2025-11-20,57.27,58.36,56.88,58.26,81000,0,1.78
2025-11-21,57.37,57.37,56.08,56.38,107100,0,-1.88
2025-11-24,56.38,56.58,55.69,55.69,69046,0,-0.69
2025-11-25,56.28,57.57,56.18,57.57,101000,0,1.88
2025-11-26,57.86,60.24,57.86,59.25,100000,0,1.68
2025-11-27,59.64,60.53,58.56,59.05,71000,0,-0.2
2025-11-28,60.14,60.44,58.85,59.94,81000,0,0.89
2025-12-01,59.55,60.24,59.55,59.94,53747,0,0.0
2025-12-02,59.15,60.63,59.15,59.45,36050,0,-0.49
2025-12-03,62.41,65.38,62.41,65.38,4050283,0,5.93
2025-12-04,65.97,71.91,64.79,71.91,4397175,0,6.53
2025-12-05,73.99,76.46,71.61,72.01,6828366,0,0.1
2025-12-08,71.91,73.1,69.83,70.43,1490184,0,-1.58
2025-12-09,70.43,73.0,70.23,71.91,893210,0,1.48
2025-12-10,71.51,72.31,70.03,70.03,689136,0,-1.88
2025-12-11,70.13,73.49,69.83,70.33,807047,0,0.3
2025-12-12,72.21,72.7,70.33,70.53,339001,0,0.2
2025-12-15,69.44,75.17,69.24,72.4,1073393,0,1.88
2025-12-16,72.4,73.1,69.93,71.71,444057,0,-0.69
2025-12-17,71.51,74.68,71.22,71.22,408062,0,-0.49
2025-12-18,71.22,72.9,70.13,71.12,275010,0,-0.1
2025-12-19,72.4,72.7,70.13,70.13,242011,0,-0.99
2025-12-22,70.72,72.01,70.23,72.01,213049,0,1.88
2025-12-23,72.21,72.6,71.12,71.22,217200,0,-0.79
2025-12-24,71.22,71.71,69.73,69.93,212000,0,-1.29
2025-12-26,70.72,71.02,68.94,69.73,176010,0,-0.2
2025-12-29,74.18,76.66,74.18,76.66,2724020,0,6.92
2025-12-30,78.64,81.9,73.89,74.38,4407301,0,-2.28
2025-12-31,74.18,74.38,72.01,72.01,828445,0,-2.37
2026-01-02,72.11,78.24,71.71,75.77,1544060,0,3.76
2026-01-05,75.77,75.77,69.63,70.23,1104073,0,-5.54
2026-01-06,73.2,77.25,73.2,77.25,2936521,0,7.02
