date,open,high,low,close,volume,turnover,change
2025-07-25,47.3,47.35,46.3,46.75,3493308,0,0.0
2025-07-28,46.5,46.9,46.1,46.3,1672456,0,-0.45
2025-07-29,46.15,46.6,45.5,45.7,1949035,0,-0.6
2025-07-30,46.0,46.35,45.5,45.75,1141000,0,0.05
2025-07-31,46.95,46.95,45.5,45.5,1336003,0,-0.25
2025-08-04,47.2,51.2,47.0,50.7,16819961,0,5.2
2025-08-05,51.2,51.4,49.5,50.4,16175375,0,-0.3
2025-08-06,49.9,50.2,49.0,49.0,5433245,0,-1.4
2025-08-07,49.0,49.55,48.35,48.5,3621590,0,-0.5
2025-08-08,48.9,51.0,47.8,49.9,9219997,0,1.4
2025-08-11,49.0,50.9,48.55,50.3,8403550,0,0.4
2025-08-12,50.0,51.2,49.35,49.35,6941338,0,-0.95
2025-08-13,50.6,54.0,50.2,51.7,20301416,0,2.35
2025-08-14,52.0,52.5,50.1,50.4,9560701,0,-1.3
2025-08-15,50.4,52.7,49.75,51.8,8575482,0,1.4
2025-08-18,51.9,55.5,51.6,55.2,18581266,0,3.4
2025-08-19,56.4,56.8,53.3,53.7,14298511,0,-1.5
2025-08-20,53.4,54.8,51.5,51.6,7937652,0,-2.1
2025-08-21,52.0,53.8,51.7,52.0,6090366,0,0.4
2025-08-22,52.6,53.3,51.1,53.3,5168425,0,1.3
2025-08-25,55.2,55.8,52.8,53.0,21510550,0,-0.3
2025-08-26,53.0,53.6,51.2,51.3,9016811,0,-1.7
2025-08-27,52.0,52.5,51.1,51.5,6295378,0,0.2
2025-08-28,51.8,56.6,51.3,52.7,22499889,0,1.2
2025-08-29,54.2,54.7,51.0,51.4,11276863,0,-1.3
2025-09-01,51.8,52.3,48.95,48.95,6152420,0,-2.45
2025-09-02,49.9,50.1,48.15,49.5,4292546,0,0.55
2025-09-03,50.1,50.3,49.2,49.2,2591658,0,-0.3
2025-09-04,49.35,50.1,48.5,48.55,2886020,0,-0.65
2025-09-05,48.9,49.35,48.5,48.5,1428365,0,-0.05
2025-09-08,48.85,51.1,48.3,50.9,3558448,0,2.4
2025-09-09,50.9,52.3,50.9,50.9,4825028,0,0.0
2025-09-10,51.2,51.5,50.1,50.1,2395279,0,-0.8
2025-09-11,50.8,51.1,47.95,48.4,4098507,0,-1.7
2025-09-12,48.7,49.4,48.15,48.15,1732005,0,-0.25
2025-09-15,48.5,48.55,47.5,47.8,1741200,0,-0.35
2025-09-16,48.1,48.5,47.7,48.15,1203529,0,0.35
2025-09-17,48.2,48.45,47.35,47.35,1263252,0,-0.8
2025-09-18,47.55,47.8,47.1,47.2,1146000,0,-0.15
2025-09-19,47.5,47.9,46.9,46.9,1217316,0,-0.3
2025-09-22,47.25,47.8,46.8,46.8,1184400,0,-0.1
2025-09-23,47.2,47.5,46.6,46.8,1180050,0,0.0
2025-09-24,47.05,47.5,46.5,46.55,972241,0,-0.25
2025-09-25,46.9,48.75,46.85,47.3,2405100,0,0.75
2025-09-26,47.0,47.0,45.05,45.2,2055799,0,-2.1
2025-09-30,45.5,45.65,45.2,45.4,724105,0,0.2
2025-10-01,45.55,45.75,44.3,44.3,1271301,0,-1.1
2025-10-02,44.6,44.75,43.0,43.0,1594728,0,-1.3
2025-10-03,43.25,43.45,43.05,43.3,893177,0,0.3
2025-10-07,43.5,44.25,43.3,43.8,800083,0,0.5
2025-10-08,43.9,44.0,43.0,43.2,500001,0,-0.6
2025-10-09,43.35,43.7,42.15,42.15,1139165,0,-1.05
2025-10-13,39.9,42.1,39.55,42.1,1554010,0,-0.05
2025-10-14,42.15,43.2,40.85,41.1,1101023,0,-1.0
2025-10-15,41.85,41.85,40.6,40.6,670115,0,-0.5
2025-10-16,40.95,41.3,40.0,41.0,1077302,0,0.4
2025-10-17,41.0,41.0,39.95,40.15,1071240,0,-0.85
2025-10-20,40.35,40.5,40.0,40.45,632361,0,0.3
2025-10-21,40.9,42.5,40.8,41.45,1631047,0,1.0
2025-10-22,41.45,42.35,41.3,41.7,830404,0,0.25
2025-10-23,41.3,41.3,40.5,40.6,669010,0,-1.1
2025-10-27,40.6,41.2,40.3,41.1,601077,0,0.5
2025-10-28,41.35,41.65,40.3,40.45,563116,0,-0.65
2025-10-29,40.8,40.9,40.05,40.05,634392,0,-0.4
2025-10-30,40.35,40.35,39.5,39.55,794200,0,-0.5
2025-10-31,39.6,40.05,39.1,39.1,702073,0,-0.45
2025-11-03,39.75,40.05,39.1,39.25,488113,0,0.15
2025-11-04,39.25,39.4,37.55,37.55,1177102,0,-1.7
2025-11-05,37.1,38.2,36.65,38.2,851561,0,0.65
2025-11-06,38.35,38.45,37.7,38.15,597801,0,-0.05
2025-11-07,37.9,37.95,36.9,37.4,650669,0,-0.75
2025-11-10,38.2,40.5,38.2,38.6,2739201,0,1.2
2025-11-11,39.5,41.0,39.05,40.25,2261234,0,1.65
2025-11-12,40.5,40.65,39.7,40.0,1111361,0,-0.25
2025-11-13,40.6,40.6,38.95,38.95,857036,0,-1.05
2025-11-14,38.0,38.45,37.5,37.65,665000,0,-1.3
2025-11-17,38.1,38.1,36.7,36.8,740058,0,-0.85
2025-11-18,36.45,36.7,35.4,35.7,948668,0,-1.1
2025-11-19,35.4,36.5,35.15,35.6,528100,0,-0.1
2025-11-20,36.2,36.5,35.75,36.2,396000,0,0.6
2025-11-21,35.9,36.8,35.05,35.05,752050,0,-1.15
2025-11-24,35.55,36.05,35.5,36.0,402100,0,0.95
2025-11-25,36.7,36.75,35.75,35.8,343000,0,-0.2
2025-11-26,36.5,39.35,36.45,39.35,2222758,0,3.55
2025-11-27,39.6,39.65,37.7,38.1,2725550,0,-1.25
2025-11-28,38.2,38.4,37.7,38.1,457022,0,0.0
2025-12-01,38.45,38.55,37.6,37.6,300132,0,-0.5
2025-12-02,37.7,37.9,37.25,37.25,265086,0,-0.35
2025-12-03,37.4,38.1,37.4,37.8,346201,0,0.55
2025-12-04,39.8,41.55,39.65,40.0,6348733,0,2.2
2025-12-05,40.5,43.9,40.5,40.75,11217106,0,0.75
2025-12-08,40.75,42.75,39.6,42.75,4268444,0,2.0
2025-12-09,43.4,44.35,42.85,44.0,6935294,0,1.25
2025-12-10,44.0,44.0,42.8,43.05,2320502,0,-0.95
2025-12-11,42.3,43.3,41.75,41.75,1347094,0,-1.3
2025-12-12,41.75,42.5,41.4,41.8,1012113,0,0.05
2025-12-15,41.35,42.25,40.9,41.75,638500,0,-0.05
2025-12-16,41.6,41.85,40.0,40.45,756415,0,-1.3
2025-12-17,40.5,41.1,40.5,41.0,418142,0,0.55
2025-12-18,41.0,41.1,40.05,40.3,514304,0,-0.7
2025-12-19,40.95,40.95,40.3,40.5,266756,0,0.2
2025-12-22,40.8,41.2,40.7,41.15,362376,0,0.65
2025-12-23,41.3,42.75,41.2,41.55,948280,0,0.4
2025-12-24,41.95,42.2,40.6,40.6,598001,0,-0.95
2025-12-26,41.5,42.1,40.5,42.0,902206,0,1.4
2025-12-29,42.2,42.5,41.2,41.2,797200,0,-0.8
2025-12-30,40.9,40.9,40.0,40.2,660040,0,-1.0
2025-12-31,40.2,40.35,39.3,39.3,621504,0,-0.9
2026-01-02,39.3,40.65,39.3,40.25,585043,0,0.95
2026-01-05,40.8,40.8,39.05,39.4,819004,0,-0.85
2026-01-06,40.0,42.75,40.0,41.55,3003245,0,2.15
2026-01-07,41.75,41.95,40.55,40.7,1233005,0,-0.85
2026-01-08,40.6,40.6,39.7,39.85,707019,0,-0.85
2026-01-09,40.05,40.6,39.4,40.15,415001,0,0.3
2026-01-12,40.3,40.9,40.3,40.65,427222,0,0.5
2026-01-13,41.1,41.2,39.9,40.6,798641,0,-0.05
2026-01-14,41.2,44.65,41.05,44.65,7525703,0,4.05
2026-01-15,45.0,47.8,43.3,46.1,14144634,0,1.45
2026-01-16,46.1,50.5,46.0,49.15,19380409,0,3.05
2026-01-19,49.35,52.4,49.3,50.4,14771580,0,1.25
2026-01-20,50.0,50.4,48.8,49.0,4836497,0,-1.4
2026-01-21,49.1,50.9,48.6,48.7,5669570,0,-0.3
2026-01-22,49.7,50.8,49.15,49.2,5124923,0,0.5
2026-01-23,49.55,53.3,49.5,50.3,15504052,0,1.1
2026-01-26,49.9,51.7,49.6,50.2,5768259,0,-0.1
2026-01-27,50.2,50.2,47.5,48.25,3785008,0,-1.95
2026-01-28,48.5,50.4,47.55,50.2,4097584,0,1.95
2026-01-29,50.6,51.6,47.9,49.7,6162621,0,-0.5
2026-01-30,49.25,50.9,48.3,49.2,5449011,0,-0.5
2026-02-02,48.9,50.2,46.0,47.95,3760105,0,-1.25
2026-02-03,48.25,50.3,47.75,49.95,4263121,0,2.0
2026-02-04,50.0,51.3,49.15,50.0,8028016,0,0.05
2026-02-05,49.2,49.3,47.5,47.75,2348260,0,-2.25
2026-02-06,47.0,48.6,44.85,48.5,2044429,0,0.75
2026-02-09,49.8,50.6,48.15,48.15,5042718,0,-0.35
2026-02-10,48.6,48.6,46.45,46.45,1701713,0,-1.7
2026-02-11,45.95,46.4,45.5,45.55,1097047,0,-0.9
2026-02-23,45.95,48.05,44.8,46.8,1768130,0,1.25
2026-02-24,46.75,47.4,46.65,46.9,1015177,0,0.1
2026-02-25,46.9,46.9,45.2,45.3,1257065,0,-1.6
2026-02-26,45.7,46.4,45.5,45.6,924013,0,0.3
2026-03-02,44.15,46.55,43.8,45.65,1290722,0,0.05
2026-03-03,45.75,46.35,43.9,44.0,1210707,0,-1.65
2026-03-04,43.6,43.8,41.4,41.4,1073543,0,-2.6
2026-03-05,42.5,43.4,41.8,42.0,720004,0,0.6
2026-03-06,42.0,42.35,41.5,42.15,511007,0,0.15
2026-03-09,39.65,40.15,38.7,39.9,984190,0,-2.25
2026-03-10,41.25,41.3,40.25,40.8,546168,0,0.9
2026-03-11,41.65,42.9,41.35,42.7,640319,0,1.9
2026-03-12,42.9,43.1,42.0,42.8,631056,0,0.1
2026-03-13,41.8,43.45,41.7,43.2,711410,0,0.4
2026-03-16,43.7,45.0,43.4,43.9,697016,0,0.7
2026-03-17,44.4,45.25,43.9,44.5,1178249,0,0.6
2026-03-18,45.1,45.8,43.85,43.9,819027,0,-0.6
2026-03-19,43.25,43.5,41.85,41.9,1135107,0,-2.0
2026-03-20,42.2,42.9,41.8,42.15,767501,0,0.25
2026-03-23,41.7,43.9,40.85,42.4,957500,0,0.25
2026-03-24,43.45,43.45,42.05,42.3,510500,0,-0.1
2026-03-25,44.45,46.5,44.1,45.6,6607395,0,3.3
2026-03-26,45.5,46.1,43.2,43.2,2587067,0,-2.4
2026-03-27,43.7,45.45,42.85,43.8,2673290,0,0.6
2026-03-30,42.85,43.55,42.3,43.0,732473,0,-0.8
2026-03-31,43.05,44.5,43.05,43.8,1438341,0,0.8
2026-04-01,45.0,45.35,44.05,44.05,1364475,0,0.25
2026-04-02,43.8,44.2,41.85,41.85,897088,0,-2.2
