date,open,high,low,close,volume,turnover,change
2025-07-23,25.76,25.95,25.76,25.86,59500,0,0.0
2025-07-24,25.9,26.09,25.9,26.09,48051,0,0.24
2025-07-25,26.0,26.0,25.76,25.81,103010,0,-0.28
2025-07-28,25.86,25.9,25.81,25.9,77002,0,0.09
2025-07-29,25.9,25.9,25.67,25.76,54100,0,-0.14
2025-07-30,25.71,25.86,25.67,25.81,48000,0,0.05
2025-07-31,25.81,25.86,25.67,25.67,80835,0,-0.14
2025-08-04,25.57,25.62,25.48,25.57,89044,0,-0.09
2025-08-05,25.57,25.57,25.29,25.52,197000,0,-0.05
2025-08-06,25.52,25.57,25.48,25.52,234040,0,0.0
2025-08-07,25.52,25.57,25.38,25.48,78008,0,-0.05
2025-08-08,25.48,25.48,25.24,25.24,127009,0,-0.24
2025-08-11,25.24,25.24,24.81,24.81,300091,0,-0.43
2025-08-12,24.81,24.81,24.62,24.72,272001,0,-0.09
2025-08-13,24.67,24.67,24.34,24.39,399000,0,-0.33
2025-08-14,24.34,24.34,24.2,24.34,331000,0,-0.05
2025-08-15,24.34,24.34,24.15,24.29,200367,0,-0.05
2025-08-18,24.29,24.29,24.15,24.15,242000,0,-0.14
2025-08-19,24.15,24.34,24.15,24.24,180002,0,0.09
2025-08-20,24.24,24.24,24.01,24.01,193200,0,-0.24
2025-08-21,24.01,24.2,23.96,24.1,168201,0,0.09
2025-08-22,24.06,24.2,24.06,24.15,95000,0,0.05
2025-08-25,24.2,24.2,24.06,24.06,131032,0,-0.09
2025-08-26,24.06,24.15,23.96,24.01,97172,0,-0.05
2025-08-27,24.01,24.81,24.01,24.72,364000,0,0.71
2025-08-28,24.81,24.86,24.62,24.77,116062,0,0.05
2025-08-29,24.81,24.91,24.58,24.62,133001,0,-0.14
2025-09-01,24.62,24.62,24.24,24.39,89245,0,-0.24
2025-09-02,24.39,24.48,24.24,24.24,81201,0,-0.14
2025-09-03,24.24,24.34,24.1,24.29,91045,0,0.05
2025-09-04,24.29,24.62,24.29,24.53,138000,0,0.24
2025-09-05,24.53,24.72,24.39,24.62,140822,0,0.09
2025-09-08,24.67,24.77,24.53,24.62,104001,0,0.0
2025-09-09,24.67,24.72,24.29,24.48,125675,0,-0.14
2025-09-10,24.48,24.48,24.34,24.34,139500,0,-0.14
2025-09-11,24.34,24.43,24.15,24.2,98278,0,-0.14
2025-09-12,24.2,24.29,24.15,24.24,81047,0,0.05
2025-09-15,24.24,24.67,24.24,24.62,117001,0,0.38
2025-09-16,24.62,24.91,24.62,24.81,134001,0,0.19
2025-09-17,24.67,24.86,24.67,24.81,65770,0,0.0
2025-09-18,24.86,25.0,24.81,24.91,102000,0,0.09
2025-09-19,24.96,24.96,24.72,24.86,73000,0,-0.05
2025-09-22,24.86,24.86,24.72,24.86,86356,0,0.0
2025-09-23,24.86,24.86,24.62,24.67,109000,0,-0.19
2025-09-24,24.67,24.72,24.53,24.67,102000,0,0.0
2025-09-25,24.67,25.05,24.67,25.05,161233,0,0.38
2025-09-26,25.05,25.1,24.81,24.81,118052,0,-0.24
2025-09-30,24.91,24.91,24.62,24.67,82300,0,-0.14
