symbol,date,close,K,D,DIF,MACD,OSC,RSI,OBV,MA3,MA6,MA12
8083,2026-09-01,157.0,52.7,62.8,5.466,5.307,0.159,54.6,75643728.0,159.0,160.78,157.68
8084,2026-09-01,41.15,18.1,28.3,-6.479,-7.166,0.687,41.0,146955685.0,43.57,45.17,49.47
8085,2026-09-01,14.05,29.3,18.9,-5.755,-5.901,0.146,39.1,882826365.0,13.67,12.77,14.95
8086,2026-09-01,106.0,32.0,49.8,5.893,5.842,0.051,48.0,4856633986.0,110.25,131.11,120.92
8087,2026-09-01,24.0,20.2,29.3,-3.817,-2.843,-0.974,34.1,63962522.0,26.43,29.85,31.31
8088,2026-09-01,40.8,28.4,45.0,4.931,5.342,-0.41,49.7,2853738446.0,43.28,50.23,49.38
8089,2026-09-01,17.95,5.2,4.4,-8.994,-7.272,-1.722,33.8,453910168.0,18.03,19.03,23.49
8091,2026-09-01,204.0,61.9,70.3,31.57,23.131,8.439,61.7,609873359.0,210.67,224.73,174.64
8092,2026-09-01,12.7,20.9,25.9,-1.298,-0.884,-0.413,41.4,87529842.0,13.23,14.45,14.47
8093,2026-09-01,24.45,48.6,32.0,-1.856,-2.055,0.199,49.3,66180170.0,24.22,21.63,21.46
8096,2026-09-01,86.0,53.0,64.3,19.969,16.963,3.007,54.7,4479839738.0,102.5,112.28,88.27
8097,2026-09-01,48.3,14.7,18.6,-3.526,-1.608,-1.918,38.5,383131344.0,49.77,53.17,55.97
8099,2026-09-01,58.8,22.8,21.9,-0.216,1.636,-1.852,48.3,363881737.0,57.55,58.28,62.34
8101,2026-09-01,12.55,27.8,24.1,0.427,1.162,-0.735,47.8,1706690747.0,12.58,12.67,14.33
8103,2026-09-01,113.0,62.1,60.8,14.651,12.178,2.473,60.4,1026431803.0,101.7,105.03,95.46
8104,2026-09-01,29.65,22.0,33.0,-1.546,-0.911,-0.635,43.6,119289096.0,30.05,33.76,34.23
8105,2026-09-01,14.5,40.5,48.8,0.603,0.252,0.351,50.0,25891450369.0,15.45,16.68,14.3
8107,2026-09-01,12.3,20.5,18.2,-1.512,-1.248,-0.264,40.3,673590389.0,12.05,12.42,13.37
8109,2026-09-01,126.5,53.6,61.3,11.746,9.12,2.625,71.0,296767239.0,124.67,123.5,111.74
8110,2026-09-01,41.5,32.3,46.1,8.508,8.732,-0.224,53.5,7833533809.0,41.42,47.74,48.99
8111,2026-09-01,68.1,50.3,47.5,8.012,8.84,-0.828,60.9,3760409959.0,64.33,63.14,64.43
8112,2026-09-01,83.6,65.3,67.9,9.545,7.487,2.058,61.5,15168645740.0,84.9,84.44,77.51
8114,2026-09-01,179.5,30.7,29.5,0.628,6.717,-6.089,47.8,600348969.0,189.0,192.81,183.31
8121,2026-09-01,26.05,29.8,44.0,0.893,0.607,0.287,47.5,2224104404.0,27.33,33.49,30.3
8131,2026-09-01,59.0,47.5,59.6,8.619,7.57,1.048,56.9,4244128415.0,59.63,63.74,60.73
8147,2026-09-01,129.5,41.7,50.6,10.899,10.962,-0.063,53.7,218738684.0,124.17,141.34,126.6
8150,2026-09-01,86.6,61.2,68.7,14.874,10.354,4.52,61.9,93833245608.0,82.77,88.05,69.34
8155,2026-09-01,313.5,59.3,67.0,57.39,43.817,13.573,59.8,1420019603.0,317.0,353.91,274.78
8162,2026-09-01,60.4,52.1,55.1,6.537,3.998,2.539,56.3,49992340.0,57.03,61.97,49.1
8163,2026-09-01,29.7,28.2,32.3,-2.432,-2.439,0.008,42.7,1564127071.0,30.47,33.05,31.91
8171,2026-09-01,19.8,12.8,15.8,-4.551,-4.054,-0.497,34.8,1172265887.0,19.78,21.26,23.72
8176,2026-09-01,9.91,7.9,10.5,-0.749,-0.646,-0.103,40.0,105286423.0,9.87,10.02,10.44
8182,2026-09-01,37.95,46.5,52.6,2.862,1.533,1.329,56.4,805015484.0,38.18,41.23,34.07
8183,2026-09-01,27.55,22.2,35.1,-2.031,-1.973,-0.057,41.9,2549328689.0,28.5,30.51,32.14
8201,2026-09-01,11.9,19.0,23.6,-0.824,-0.636,-0.188,44.0,647985132.0,11.8,12.45,13.18
8210,2026-09-01,886.0,34.1,53.4,201.691,203.336,-1.645,56.7,2266860917.0,966.67,1108.94,1014.97
8213,2026-09-01,32.85,36.5,44.7,-0.12,-0.143,0.023,49.0,1243536474.0,31.88,33.94,33.65
8215,2026-09-01,24.95,50.3,50.4,-0.651,-1.292,0.641,49.3,1903478475.0,24.42,26.31,23.18
8222,2026-09-01,34.7,23.6,21.2,-1.401,-0.295,-1.106,43.8,1958799009.0,36.55,36.56,38.18
8227,2026-09-01,249.5,57.5,46.3,4.916,-2.25,7.166,60.4,500081093.0,182.33,187.2,164.05
8234,2026-09-01,61.3,28.9,27.4,1.592,4.588,-2.996,47.1,1293090844.0,62.97,66.3,68.52
8240,2026-09-01,49.0,37.3,45.2,4.545,4.143,0.402,55.7,998369372.0,45.05,52.36,45.52
8249,2026-09-01,37.55,13.7,22.8,0.726,3.119,-2.393,43.9,9879977757.0,40.13,44.77,48.28
8255,2026-09-01,132.5,33.4,42.8,-0.436,-2.691,2.254,47.3,702114968.0,138.67,154.36,139.71
8261,2026-09-01,166.5,43.5,55.9,26.099,16.888,9.211,58.6,2968753777.0,169.5,178.39,136.26
8271,2026-09-01,202.0,71.3,73.9,43.815,32.521,11.294,67.9,1839380676.0,217.5,216.23,164.42
8277,2026-09-01,8.05,24.3,23.4,-0.986,-0.797,-0.19,42.3,137441745.0,8.03,8.44,9.13
8279,2026-09-01,78.4,5.2,13.4,-11.001,-7.324,-3.677,33.1,56053968.0,82.07,86.7,102.05
8284,2026-09-01,69.0,75.0,61.8,2.761,2.292,0.469,75.8,34134862.0,66.17,63.17,60.94
8289,2026-09-01,42.5,49.7,58.0,5.97,3.882,2.088,55.0,691018094.0,42.62,50.96,38.66
8291,2026-09-01,29.55,24.3,29.6,4.461,2.884,1.578,49.8,-1470173.0,34.53,47.86,32.05
8299,2026-09-01,1920.0,53.8,63.8,421.574,364.102,57.472,58.2,2559926291.0,1908.33,2092.09,1823.11
8341,2026-09-01,74.2,24.1,26.1,-4.854,-6.748,1.893,42.0,326817370.0,75.5,74.1,74.59
8342,2026-09-01,83.0,66.9,74.5,5.465,5.853,-0.388,59.6,1865291.0,86.17,86.24,83.37
8349,2026-09-01,38.05,27.9,32.8,-2.055,-1.502,-0.553,40.1,314460481.0,38.95,40.06,40.7
8354,2026-09-01,16.8,42.8,42.5,0.524,0.368,0.156,59.7,277284832.0,16.58,16.37,15.85
8358,2026-09-01,482.0,57.1,66.4,108.846,84.648,24.198,61.8,7540149426.0,440.0,484.87,369.35
8367,2026-09-01,40.7,33.0,38.4,0.34,0.746,-0.406,49.8,248200896.0,40.68,40.91,41.09
8374,2026-09-01,77.2,28.7,31.2,0.408,3.93,-3.523,47.8,1762092624.0,76.37,83.96,82.39
8383,2026-09-01,63.3,51.1,52.3,6.967,4.568,2.4,70.2,1122116710.0,65.93,63.52,51.74
8390,2026-09-01,90.3,45.0,57.8,11.503,11.003,0.5,56.1,490680585.0,93.23,97.07,91.27
8401,2026-09-01,22.7,15.1,24.3,0.5,1.355,-0.856,45.7,230371987.0,22.68,23.1,25.11
8403,2026-09-01,18.8,9.4,10.4,-2.0,-1.571,-0.429,29.3,-183092494.0,18.76,19.08,20.96
8404,2026-09-01,13.9,5.9,12.3,-1.706,-0.939,-0.767,34.2,580648196.0,15.38,15.74,18.99
8409,2026-09-01,18.05,8.2,11.1,-1.164,-0.734,-0.431,36.5,-15573258.0,18.18,18.85,20.19
8410,2026-09-01,29.25,13.3,12.2,-5.911,-4.842,-1.069,32.5,59114879.0,29.61,31.22,33.33
8411,2026-09-01,12.65,72.0,64.5,-0.246,-0.348,0.102,47.3,122481536.0,12.98,12.55,12.44
8415,2026-09-01,34.55,48.5,47.4,1.111,0.856,0.255,57.1,-46135725.0,36.1,34.46,33.46
8416,2026-09-01,169.5,47.3,51.9,8.705,9.842,-1.137,60.7,86133970.0,168.5,168.87,167.45
8421,2026-09-01,12.65,29.1,39.2,-0.045,-0.053,0.007,45.6,348986483.0,13.87,13.58,13.39
8422,2026-09-01,26.1,20.1,30.9,2.659,2.849,-0.19,56.7,4950951095.0,25.88,26.31,27.63
8423,2026-09-01,17.65,31.9,32.5,-0.014,0.076,-0.09,52.2,6376596.0,17.23,17.17,17.33
8424,2026-09-01,68.9,56.8,59.8,2.495,2.936,-0.441,65.7,35517920.0,68.7,68.67,68.73
8426,2026-09-01,20.3,14.0,12.9,-4.366,-3.877,-0.488,32.5,156607601.0,20.78,20.96,23.56
8429,2026-09-01,5.92,2.8,5.0,-1.062,-0.952,-0.11,27.5,21849568.0,5.98,6.15,6.81
8431,2026-09-01,60.1,35.8,37.6,-0.167,-0.405,0.238,52.8,381101439.0,53.2,55.3,56.58
8432,2026-09-01,49.9,39.2,42.4,0.251,0.477,-0.225,50.3,79797182.0,49.98,49.45,50.71
8433,2026-09-01,53.3,51.9,47.7,-3.084,-3.169,0.086,44.5,138782472.0,53.8,53.5,52.09
8435,2026-09-01,53.0,51.3,46.8,-1.416,-1.028,-0.389,44.9,47011185.0,53.07,52.89,52.16
8436,2026-09-01,105.0,17.9,24.6,-4.306,-4.438,0.132,44.0,1028129230.0,110.86,111.46,115.13
8437,2026-09-01,8.98,3.7,3.9,-8.995,-10.285,1.289,19.5,79887592.0,9.07,10.22,13.06
8438,2026-09-01,67.7,52.6,62.7,11.725,9.657,2.067,58.0,39024398.0,65.7,77.3,63.13
8440,2026-09-01,19.85,13.5,14.3,-2.985,-2.325,-0.659,37.5,928657522.0,19.73,20.87,22.88
8442,2026-09-01,45.45,19.2,14.6,-9.511,-7.087,-2.424,33.6,33792147.0,44.08,42.5,52.59
8443,2026-09-01,11.2,36.8,46.6,-0.068,-0.02,-0.048,44.5,123241761.0,11.35,11.42,11.47
8444,2026-09-01,4.6,6.8,8.5,-7.647,-7.996,0.349,25.3,26084215.0,4.91,5.4,7.91
8446,2026-09-01,84.8,25.7,27.7,-0.657,0.313,-0.97,46.3,152192107.0,84.87,85.57,86.69
8450,2026-09-01,14.35,10.3,12.5,-2.335,-2.224,-0.111,28.0,-56373566.0,14.55,15.12,16.21
8454,2026-09-01,245.0,29.3,26.7,-31.967,-43.957,11.99,45.7,142543036.0,245.83,237.93,218.86
8455,2026-09-01,23.5,23.0,30.9,-0.011,0.004,-0.016,48.1,14356485.0,23.52,28.07,24.87
8462,2026-09-01,162.0,63.4,57.3,10.412,8.106,2.306,62.3,-287685153.0,166.17,152.58,147.08
8463,2026-09-01,21.1,17.5,25.0,-0.708,-0.362,-0.346,41.1,-156040254.0,21.22,21.25,23.03
8464,2026-09-01,377.5,52.1,41.4,2.897,5.884,-2.986,52.1,225098301.0,377.5,357.83,360.85
8466,2026-09-01,13.75,21.1,20.6,-6.572,-6.286,-0.287,23.9,-14149164.0,15.17,15.6,18.61
8467,2026-09-01,83.2,5.9,13.3,-15.893,-4.225,-11.668,34.3,131811257.0,91.8,109.35,134.85
8472,2026-09-01,80.2,44.8,46.4,9.82,9.476,0.345,60.5,-2566103.0,71.13,73.45,72.17
8473,2026-09-01,38.4,49.6,54.5,2.381,1.761,0.62,55.1,293568802.0,38.42,39.42,36.54
8476,2026-09-01,19.7,44.4,38.4,-4.947,-6.054,1.107,41.3,150179351.0,19.48,19.25,18.93
8477,2026-09-01,15.25,42.2,49.4,-0.089,-0.71,0.621,50.7,17627621.0,15.5,16.07,14.36
8478,2026-09-01,142.0,10.7,15.8,-28.086,-28.194,0.109,37.4,675905832.0,142.83,146.86,160.49
8481,2026-09-01,40.8,65.7,49.6,-1.02,-1.313,0.293,48.7,4951324.0,40.55,39.5,39.13
8482,2026-09-01,47.3,39.6,39.0,-3.437,-3.166,-0.272,43.8,19945308.0,48.87,48.09,48.07
8487,2026-09-01,70.1,44.5,52.6,5.357,5.66,-0.303,59.7,12906345.0,71.87,70.79,67.84
8488,2026-09-01,9.94,23.2,21.3,-1.213,-1.329,0.116,31.6,6234416.0,10.04,10.06,10.06
8489,2026-09-01,21.6,4.6,10.3,-2.897,-0.985,-1.911,35.4,98223936.0,21.97,22.81,29.85
8499,2026-09-01,251.5,25.1,33.3,32.371,37.638,-5.267,54.0,107732910.0,248.5,268.63,275.04
8905,2026-09-01,34.3,45.0,48.5,1.671,1.909,-0.238,57.3,424425848.0,33.12,32.79,33.24
8906,2026-09-01,28.8,27.6,26.6,-0.571,0.395,-0.966,48.7,68157676.0,27.53,26.73,29.83
8908,2026-09-01,40.15,24.8,26.0,-0.871,-1.163,0.292,48.7,78853387.0,39.42,39.45,39.57
8916,2026-09-01,40.8,27.5,26.2,-1.201,-0.467,-0.734,38.4,455192893.0,40.55,41.34,43.15
8917,2026-09-01,52.0,14.3,14.1,-1.88,-1.678,-0.202,38.3,11577348.0,52.13,51.42,53.17
8921,2026-09-01,16.65,40.2,44.9,-0.311,-0.022,-0.288,44.9,-797007.0,17.12,17.61,17.5
8923,2026-09-01,18.5,52.6,45.2,0.325,0.405,-0.08,50.4,5269691.0,18.85,18.85,18.9
8924,2026-09-01,49.9,11.8,28.1,-4.522,-3.538,-0.984,33.6,952533792.0,51.27,55.69,61.04
8926,2026-09-01,57.4,48.9,53.0,5.425,3.989,1.436,59.1,-9905133632.0,57.43,59.04,50.89
8927,2026-09-01,18.8,11.5,10.3,-5.317,-4.069,-1.248,33.1,316861080.0,19.09,19.37,21.92
8928,2026-09-01,22.95,37.9,27.2,-1.686,-1.636,-0.05,43.8,387068798.0,22.98,21.78,23.1
8929,2026-09-01,13.0,5.3,7.2,-2.157,-1.759,-0.398,33.4,254780004.0,13.15,13.63,15.17
8930,2026-09-01,29.1,57.8,56.0,0.579,0.874,-0.295,51.1,415251845.0,29.9,29.24,29.07
8931,2026-09-01,43.1,23.6,21.2,-0.809,-0.203,-0.606,48.9,263844541.0,41.95,41.06,42.81
8932,2026-09-01,85.8,51.2,52.2,14.109,14.111,-0.001,60.6,2946666470.0,85.23,84.06,79.67
8933,2026-09-01,4.43,8.3,12.2,-1.24,-1.193,-0.047,30.9,1313921145.0,4.47,4.82,5.64
8935,2026-09-01,17.45,19.1,26.9,0.503,1.109,-0.606,47.7,-6958770.0,17.53,18.82,19.54
8936,2026-09-01,51.0,20.0,26.2,1.061,1.86,-0.799,49.0,2900698871.0,51.17,53.5,53.93
8937,2026-09-01,27.65,29.5,31.1,1.862,4.21,-2.348,48.0,1414614918.0,27.2,29.22,33.19
8938,2026-09-01,52.0,11.5,19.8,-3.417,-2.328,-1.089,37.4,591889150.0,52.2,53.58,58.35
8940,2026-09-01,14.65,4.8,9.9,-1.971,-1.404,-0.567,29.9,159334688.0,15.15,16.0,18.01
8941,2026-09-01,45.0,63.5,41.6,-1.718,-1.35,-0.368,48.5,30786931.0,43.63,42.4,42.56
