date,open,high,low,close,volume,turnover,change
2008-01-21,22.95,23.15,20.57,21.6,2047500,0,0.0
2008-01-28,21.6,22.35,20.93,21.56,1071000,0,-0.04
2008-02-11,21.37,21.56,20.57,21.29,795900,0,-0.28
2008-02-18,21.4,21.72,20.89,21.64,1965600,0,0.36
2008-02-25,22.04,22.12,21.25,21.84,1212750,0,0.2
2008-03-03,21.64,24.13,21.05,23.7,5084100,0,1.86
2008-03-10,23.82,23.9,21.6,22.04,1870050,0,-1.66
2008-03-17,21.76,21.84,20.97,21.33,1447950,0,-0.71
2008-03-24,22.16,22.47,21.37,21.96,1667400,0,0.63
2008-03-31,22.0,22.75,21.84,22.31,1257900,0,0.36
2008-04-07,22.55,22.67,21.37,21.37,1497300,0,-0.95
2008-04-14,21.29,22.47,21.01,21.76,2820300,0,0.4
2008-04-21,22.16,22.16,21.01,21.05,2247000,0,-0.71
2008-04-28,21.29,21.4,18.4,18.54,4412100,0,-2.51
2008-05-05,18.6,18.99,18.6,18.77,2176650,0,0.24
2008-05-12,18.87,19.55,18.66,19.21,1477350,0,0.44
2008-05-19,19.47,19.82,18.91,18.91,1656900,0,-0.3
2008-05-26,18.91,19.03,18.28,18.42,837900,0,-0.49
2008-06-02,18.48,18.6,16.85,17.51,1148700,0,-0.91
2008-06-09,17.33,17.73,14.42,14.64,2090550,0,-2.87
2008-06-16,14.84,16.89,14.76,16.22,2000250,0,1.58
2008-06-23,15.98,15.98,14.64,14.72,971250,0,-1.5
2008-06-30,14.84,15.03,12.86,13.91,1546650,0,-0.81
2008-07-07,13.69,14.01,13.1,13.73,984900,0,-0.18
2008-07-14,13.73,13.85,12.23,12.74,1126650,0,-0.99
2008-07-21,13.06,14.24,12.98,13.85,964950,0,1.11
2008-07-28,13.85,14.56,13.57,13.77,1134000,0,-0.08
2008-08-04,13.77,14.14,13.57,14.05,1208550,0,0.28
2008-08-11,14.09,15.65,14.05,14.92,2179800,0,0.87
2008-08-18,14.92,15.23,14.44,14.52,1368150,0,-0.4
2008-08-25,14.68,14.8,14.22,14.49,1301100,0,-0.03
2008-09-01,14.03,14.52,11.79,11.88,1189000,0,-2.61
2008-09-08,12.02,12.64,11.28,11.79,824000,0,-0.09
2008-09-15,11.74,11.88,9.18,9.92,1635000,0,-1.87
2008-09-22,10.08,10.63,9.8,10.03,844000,0,0.12
2008-09-29,10.03,10.08,9.34,9.89,537000,0,-0.14
2008-10-06,9.57,10.15,8.48,9.02,698000,0,-0.88
2008-10-13,8.85,9.52,8.71,9.11,815000,0,0.09
2008-10-20,9.13,9.66,8.81,8.81,559000,0,-0.3
2008-10-27,8.76,9.52,8.23,9.52,750000,0,0.72
2008-11-03,9.73,10.52,9.25,9.8,1270000,0,0.28
2008-11-10,10.03,10.03,8.32,8.32,632000,0,-1.48
2008-11-17,7.88,8.32,6.89,7.14,455493000,0,-1.18
2008-11-24,7.17,7.77,7.07,7.58,636000,0,0.44
2008-12-01,7.81,7.81,6.93,6.93,205459000,0,-0.65
2008-12-08,7.4,7.4,6.98,7.1,842000,0,0.16
2008-12-15,7.21,7.3,6.98,7.07,95286000,0,-0.02
2008-12-22,7.17,7.19,6.61,6.93,263000,0,-0.14
2008-12-29,6.93,7.21,6.93,7.12,28145000,0,0.18
2009-01-05,7.24,7.58,7.21,7.4,475000,0,0.28
2009-01-12,7.4,7.49,6.89,7.1,314000,0,-0.3
2009-01-19,7.17,7.26,6.93,7.03,31091000,0,-0.07
2009-02-02,7.12,7.49,6.98,7.26,214000,0,0.23
2009-02-09,7.42,9.08,7.26,9.08,1655000,0,1.83
2009-02-16,9.69,10.12,9.25,9.39,1582000,0,0.3
2009-02-23,9.43,10.61,9.18,10.61,2707000,0,1.23
2009-03-02,10.45,10.56,9.39,10.08,1691000,0,-0.53
2009-03-09,10.31,11.33,10.01,10.89,2291000,0,0.81
2009-03-16,10.89,11.88,10.73,10.86,1446000,0,-0.02
