date,open,high,low,close,volume,turnover,change
2007-12-31,504.38,648.49,504.38,618.28,328905,0,0.0
2008-01-07,578.76,590.39,502.06,555.52,210089,0,-62.76
2008-01-14,567.14,567.14,511.36,548.55,127615,0,-6.97
2008-01-21,548.55,555.52,429.08,467.19,133225,0,-81.35
2008-01-28,474.17,474.17,427.68,452.32,56192,0,-14.88
2008-02-11,452.32,456.97,397.93,454.64,51374,0,2.32
2008-02-18,463.94,497.41,432.79,461.15,77245,0,6.51
2008-02-25,474.17,511.36,461.62,488.11,73840,0,26.96
2008-03-03,497.41,497.41,460.22,469.52,83862,0,-18.59
2008-03-10,469.52,483.46,418.38,423.96,72620,0,-45.56
2008-03-17,418.38,427.68,405.83,413.73,41352,0,-10.23
2008-03-24,439.77,441.63,414.2,429.08,51247,0,15.34
2008-03-31,430.0,436.98,421.17,422.1,38311,0,-6.97
2008-04-07,414.2,464.41,413.73,447.67,96414,0,25.57
2008-04-14,447.67,447.67,391.42,391.42,93821,0,-56.25
2008-04-21,364.46,364.46,315.65,324.94,440589,0,-66.48
2008-04-28,303.1,303.56,244.99,244.99,268341,0,-79.96
2008-05-05,228.25,228.25,172.0,172.0,9185,0,-72.98
2008-05-12,160.38,160.38,120.87,120.87,54287,0,-51.14
2008-05-19,112.5,127.37,105.06,127.37,15524,0,6.51
2008-05-26,136.21,136.21,97.16,97.16,45249,0,-30.22
2008-06-02,90.65,99.95,81.35,95.76,32871,0,-1.39
2008-06-09,89.72,101.34,84.61,91.58,30814,0,-4.18
2008-06-16,94.83,94.83,74.38,79.49,20493,0,-12.09
2008-06-23,74.38,79.96,58.57,58.57,30023,0,-20.92
2008-06-30,55.32,77.63,55.32,77.63,20856,0,19.06
2008-07-07,82.75,95.3,79.03,86.47,22012,0,8.83
2008-07-14,80.89,89.72,71.59,71.59,5073,0,-14.88
2008-07-21,66.94,70.2,58.57,67.41,13490,0,-4.18
2008-07-28,67.41,67.41,67.41,67.41,0,0,0.0
2008-08-04,67.41,67.41,67.41,67.41,0,0,0.0
2008-08-11,67.41,67.41,67.41,67.41,0,0,0.0
2008-08-18,71.13,78.1,66.01,71.13,8199,0,3.72
2008-08-25,75.31,80.89,69.73,77.17,9206,0,6.04
2008-09-01,72.52,73.91,59.97,59.97,5480,0,-17.2
2008-09-08,55.78,60.43,44.63,45.56,7963,0,-14.41
2008-09-15,42.77,45.09,33.94,33.94,8178,0,-11.62
2008-09-22,33.94,36.72,30.22,36.72,4174,0,2.79
2008-09-29,36.72,41.37,34.87,39.51,7965,0,2.79
2008-10-06,37.19,50.67,37.19,49.28,10341,0,9.76
2008-10-13,47.88,47.88,47.88,47.88,2826,0,-1.39
2008-10-20,47.88,47.88,47.88,47.88,0,0,0.0
2008-10-27,47.88,47.88,44.64,44.64,2404,0,-3.24
2008-11-03,41.68,41.68,33.93,33.93,3321,0,-10.7
2008-11-10,31.66,31.66,24.14,24.14,1090,0,-9.79
2008-11-17,22.55,22.55,17.31,17.31,1877,0,-6.83
2008-11-24,16.17,17.08,14.35,17.08,8653,0,-0.23
2008-12-01,18.22,23.23,17.08,22.77,9657,0,5.69
2008-12-08,22.77,23.46,19.81,23.46,4326,0,0.68
2008-12-15,22.77,27.56,20.5,27.56,5375,0,4.1
2008-12-22,29.38,38.03,29.38,37.35,7341,0,9.79
2008-12-29,37.35,38.94,34.85,38.49,3365,0,1.14
2009-01-05,40.54,42.59,35.07,35.07,7560,0,-3.42
2009-01-12,33.25,36.44,31.66,35.76,5024,0,0.68
2009-01-19,35.76,35.76,30.29,32.57,4282,0,-3.19
2009-02-02,30.52,33.71,28.47,33.71,3363,0,1.14
2009-02-09,35.98,46.69,35.98,46.69,10227,0,12.98
2009-02-16,49.88,64.91,49.88,56.71,34707,0,10.02
2009-02-23,52.84,60.81,49.65,50.1,5854,0,-6.6
2009-03-02,50.1,60.58,49.88,54.89,3495,0,4.78
2009-03-09,57.85,68.32,55.11,68.32,4937,0,13.44
2009-03-16,72.88,76.98,59.21,76.98,11887,0,8.65
2009-03-23,71.74,75.16,61.49,63.77,8128,0,-13.21
2009-03-30,63.54,68.32,59.44,66.96,3364,0,3.19
2009-04-06,71.51,71.51,57.39,64.45,7603,0,-2.51
2009-04-13,64.45,64.45,55.34,63.31,5593,0,-1.14
2009-04-20,60.58,66.5,57.62,62.63,8434,0,-0.68
2009-04-27,58.3,66.5,55.11,59.21,18401,0,-3.42
2009-05-04,58.99,58.99,48.05,51.24,11713,0,-7.97
2009-05-11,51.24,55.8,51.24,52.84,10620,0,1.59
2009-05-18,52.61,69.69,52.61,69.69,18094,0,16.85
2009-05-25,69.46,84.49,69.46,84.49,13899,0,14.8
2009-06-01,90.19,93.38,72.42,76.52,7166,0,-7.97
2009-06-08,67.87,67.87,54.89,58.08,3319,0,-18.45
2009-06-15,54.43,55.11,50.1,50.1,7298,0,-7.97
2009-06-22,50.1,60.35,50.1,52.84,1877,0,2.73
2009-06-29,52.84,57.16,46.69,57.16,916,0,4.33
2009-07-06,56.94,61.04,53.52,60.81,1703,0,3.64
2009-07-13,56.71,56.71,49.65,56.71,7691,0,-4.1
2009-07-20,56.71,64.22,49.88,64.22,3102,0,7.52
2009-07-27,60.35,62.63,52.38,53.52,5504,0,-10.7
2009-08-03,54.2,55.8,51.47,53.52,4456,0,0.0
2009-08-10,53.52,57.39,53.52,57.39,2753,0,3.87
2009-08-17,57.16,66.05,57.16,65.82,1835,0,8.43
2009-08-24,65.82,65.82,65.82,65.82,0,0,0.0
2009-08-31,53.29,56.94,49.88,53.52,6467,0,-12.3
2009-09-07,50.56,55.11,50.56,51.47,6030,0,-2.05
2009-09-14,54.2,55.8,51.02,54.2,7778,0,2.73
2009-09-21,52.38,58.08,52.38,58.08,12412,0,3.87
2009-09-28,55.34,55.34,48.74,52.15,12674,0,-5.92
2009-10-05,52.38,60.35,52.15,52.38,35973,0,0.23
2009-10-12,52.38,53.52,52.38,53.52,7518,0,1.14
2009-10-19,53.52,53.52,53.52,53.52,0,0,0.0
2009-10-26,53.52,53.52,49.8,49.8,152,0,-3.72
2009-11-02,46.33,46.33,37.37,38.09,35748,0,-11.71
2009-11-09,36.98,45.22,36.32,45.22,14298,0,7.13
2009-11-16,42.21,46.07,39.92,42.41,16580,0,-2.81
2009-11-23,42.15,42.6,36.71,40.58,15363,0,-1.83
2009-11-30,43.06,45.61,38.09,44.04,7300,0,3.47
2009-12-07,41.03,45.35,32.59,33.11,21904,0,-10.93
2009-12-14,31.28,36.78,31.15,32.07,30118,0,-1.05
2009-12-21,31.41,41.88,31.22,33.97,38790,0,1.9
2009-12-28,32.66,37.5,32.66,37.17,15820,0,3.21
2010-01-04,37.7,37.7,33.83,33.83,12625,0,-3.34
2010-01-11,35.34,35.99,32.66,34.69,9429,0,0.85
2010-01-18,33.97,39.79,33.97,37.63,21752,0,2.94
2010-01-25,39.2,40.64,35.54,36.26,3649,0,-1.37
2010-02-01,34.55,40.51,33.11,40.51,12168,0,4.25
2010-02-08,39.66,42.21,37.96,40.05,11409,0,-0.46
2010-02-22,37.83,38.48,34.75,38.48,8060,0,-1.57
2010-03-01,39.59,42.15,37.04,40.9,9886,0,2.42
2010-03-08,41.88,42.28,38.09,39.72,7150,0,-1.18
2010-03-15,40.58,42.54,37.43,42.54,20534,0,2.81
2010-03-22,42.54,48.23,39.99,45.61,21904,0,3.08
2010-03-29,42.54,44.76,35.99,36.06,92947,0,-9.55
2010-04-05,34.88,37.76,34.88,35.27,22665,0,-0.79
2010-04-12,35.99,38.09,34.88,34.95,12776,0,-0.33
2010-04-19,33.11,36.12,32.53,34.1,7148,0,-0.85
2010-04-26,35.01,36.39,32.07,34.42,10342,0,0.33
2010-05-03,32.46,32.46,27.62,31.67,24337,0,-2.75
2010-05-10,31.09,33.51,29.25,30.3,6692,0,-1.37
2010-05-17,29.19,33.7,28.08,31.15,12625,0,0.85
2010-05-24,29.45,29.45,25.33,28.01,9887,0,-3.14
2010-05-31,29.12,32.07,29.12,29.84,2585,0,1.83
2010-06-07,29.84,33.05,29.45,29.84,1216,0,0.0
2010-06-14,28.34,30.1,26.31,26.31,608,0,-3.53
2010-06-21,25.52,31.02,25.52,28.93,3345,0,2.62
2010-06-28,28.93,33.18,27.49,33.18,2433,0,4.25
2010-07-05,33.18,37.11,30.69,33.18,4258,0,0.0
2010-07-12,34.95,36.52,31.67,35.14,10039,0,1.96
2010-07-19,32.72,34.88,30.63,31.94,3344,0,-3.21
2010-07-26,31.87,38.15,30.69,36.52,16427,0,4.58
2010-08-02,34.03,34.36,31.74,32.26,4111,0,-4.25
2010-08-09,32.26,34.42,32.26,33.25,6845,0,0.98
2010-08-16,31.15,34.36,31.15,33.9,5931,0,0.65
2010-08-23,31.67,32.53,28.6,31.48,6843,0,-2.42
2010-08-30,30.17,36.84,30.17,36.84,19927,0,5.37
2010-09-06,36.65,42.8,33.38,42.15,20838,0,5.3
2010-09-13,42.54,48.17,41.69,42.87,31800,0,0.72
2010-09-20,39.92,41.88,39.27,39.59,15059,0,-3.27
2010-09-27,39.27,42.34,37.17,39.07,7756,0,-0.52
2010-10-04,39.07,39.59,34.75,36.65,5473,0,-2.42
2010-10-11,37.96,37.96,33.38,35.99,2889,0,-0.65
2010-10-18,33.51,39.86,33.51,34.82,2889,0,-1.18
2010-10-25,32.39,36.91,30.63,30.63,1064,0,-4.19
2010-11-01,32.72,32.72,24.21,27.55,4107,0,-3.08
2010-11-08,29.25,31.35,25.2,26.44,13691,0,-1.11
