date,open,high,low,close,volume,turnover,change
2007-01-22,43.96,50.24,43.96,50.24,5737506,0,0.0
2007-01-29,51.5,53.26,40.26,41.26,7282916,0,-8.98
2007-02-05,41.14,45.22,40.57,43.34,4178780,0,2.07
2007-02-12,43.84,45.09,42.83,43.34,2041587,0,0.0
2007-02-26,43.34,43.84,34.76,39.5,2207236,0,-3.83
2007-03-05,40.2,42.08,36.55,40.32,2698718,0,0.82
2007-03-12,40.38,40.82,38.81,38.94,1263434,0,-1.38
2007-03-19,38.94,45.03,38.94,45.03,3895596,0,6.09
2007-03-26,47.61,48.36,44.59,46.23,7881958,0,1.19
2007-04-02,46.35,48.42,44.97,46.54,3237255,0,0.31
2007-04-09,46.79,49.93,44.28,47.86,4607187,0,1.32
2007-04-16,47.86,48.99,45.09,46.1,1852797,0,-1.76
2007-04-23,46.48,47.86,45.35,45.53,2676935,0,-0.57
2007-04-30,46.04,46.04,43.65,44.34,1167830,0,-1.19
2007-05-07,44.59,45.97,44.59,44.91,1038339,0,0.57
2007-05-14,45.22,45.22,43.34,43.52,870124,0,-1.38
2007-05-21,43.34,46.41,42.9,46.41,2149294,0,2.89
2007-05-28,47.42,52.44,47.23,50.87,12905453,0,4.46
2007-06-04,52.13,59.35,51.56,58.41,11179724,0,7.54
2007-06-11,59.04,59.04,45.91,49.3,3201575634,0,-9.11
2007-06-18,50.24,53.32,48.05,52.69,4091648,0,3.39
2007-06-25,55.27,55.27,53.38,53.76,3452666,0,1.07
2007-07-02,53.76,53.76,50.87,51.81,3013368,0,-1.95
2007-07-09,51.5,55.27,51.19,52.95,4743937,0,1.13
2007-07-16,52.63,53.26,51.0,52.19,2765280,0,-0.75
2007-07-23,52.44,60.29,52.44,57.09,9226478,0,4.9
2007-07-30,57.03,61.14,54.7,59.95,9672872,0,2.86
2007-08-06,58.47,69.13,57.81,65.8,11943311,0,5.85
2007-08-13,66.47,67.06,52.55,54.03,5843332,0,-11.77
2007-08-20,56.99,56.99,48.92,52.7,3883034,0,-1.33
2007-08-27,53.44,54.33,50.33,53.29,2141823,0,0.59
2007-09-03,53.29,54.33,52.25,53.66,2510096,0,0.37
2007-09-10,52.03,52.55,49.15,49.22,2321265,0,-4.44
2007-09-17,49.29,49.96,42.93,44.78,3051552,0,-4.44
2007-09-24,44.48,46.85,43.67,45.52,1417798,0,0.74
2007-10-01,45.15,48.26,44.04,47.22,4827192,0,1.7
2007-10-08,46.63,46.93,43.3,43.45,2482972,0,-3.77
2007-10-15,43.45,43.96,42.19,43.15,1473089,0,-0.3
2007-10-22,41.45,42.85,41.3,41.45,1241485,0,-1.7
2007-10-29,40.71,41.3,32.2,32.2,5246584,0,-9.25
2007-11-05,32.2,32.34,26.65,27.83,5933053,0,-4.37
2007-11-12,27.09,29.27,26.72,28.79,1616017,0,0.96
2007-11-19,29.27,30.05,27.76,27.76,1265479,0,-1.04
2007-11-26,27.76,28.5,26.13,27.39,785578,0,-0.37
2007-12-03,27.94,29.86,27.53,28.79,1345811,0,1.41
2007-12-10,28.64,28.87,24.61,25.39,1143418,0,-3.4
2007-12-17,25.24,25.24,22.57,24.2,1379196,0,-1.18
2007-12-24,25.09,26.72,24.79,26.28,959802,0,2.07
2007-12-31,26.65,28.13,26.05,26.5,746977,0,0.22
2008-01-07,25.98,26.98,24.79,25.79,489290,0,-0.7
2008-01-14,26.57,26.94,24.91,25.91,494505,0,0.11
2008-01-21,25.83,25.83,20.98,23.09,1234182,0,-2.81
2008-01-28,22.94,23.61,21.83,23.39,611352,0,0.3
2008-02-11,23.17,24.76,21.91,24.05,435040,0,0.67
2008-02-18,24.05,25.54,23.68,24.98,941024,0,0.93
2008-02-25,25.17,27.16,24.87,27.16,1178889,0,2.18
2008-03-03,26.57,30.86,26.28,28.68,3347840,0,1.52
2008-03-10,28.5,29.46,27.02,27.02,1201841,0,-1.67
2008-03-17,26.65,27.79,25.68,27.31,587357,0,0.3
2008-03-24,28.27,30.24,27.79,28.83,1749556,0,1.52
2008-03-31,28.61,29.75,28.46,29.75,501809,0,0.93
2008-04-07,29.75,29.94,29.24,29.27,827308,0,-0.48
2008-04-14,28.87,31.68,28.5,31.68,1870575,0,2.41
2008-04-21,33.16,37.75,32.57,36.12,4203318,0,4.44
2008-04-28,36.34,38.86,36.34,38.34,4271131,0,2.22
2008-05-05,38.93,39.67,36.64,39.67,1888309,0,1.33
2008-05-12,41.23,41.67,39.38,40.56,3308196,0,0.89
2008-05-19,40.56,42.63,39.82,39.89,1844493,0,-0.67
2008-05-26,39.23,39.6,37.08,38.27,1368764,0,-1.63
2008-06-02,38.27,39.97,37.82,39.52,684380,0,1.26
2008-06-09,38.12,38.49,33.75,34.79,1125682,0,-4.74
2008-06-16,35.9,38.27,34.64,35.9,869038,0,1.11
2008-06-23,34.56,35.6,31.9,31.9,461121,0,-4.0
2008-06-30,31.97,34.12,30.05,32.83,701072,0,0.93
2008-07-07,32.86,33.82,31.31,31.79,453819,0,-1.04
2008-07-14,33.97,33.97,31.27,32.12,559188,0,0.33
2008-07-21,32.64,38.19,32.42,36.34,1149677,0,4.22
2008-07-28,36.34,37.23,35.31,36.12,423565,0,-0.22
2008-08-04,36.05,39.52,35.9,39.15,1514822,0,3.03
2008-08-11,39.6,46.19,39.45,44.93,3631608,0,5.77
2008-08-18,44.41,44.41,39.3,40.04,1874747,0,-4.88
2008-08-25,40.26,42.41,39.52,41.66,1490624,0,1.62
2008-09-01,42.3,42.3,32.31,33.27,1430184,0,-8.4
2008-09-08,35.39,37.5,34.71,35.19,1341051,0,1.92
2008-09-15,33.99,34.87,28.71,31.23,1201274,0,-3.96
2008-09-22,33.03,40.3,32.39,37.35,2935324,0,6.12
2008-09-29,37.35,39.18,34.75,39.1,1111127,0,1.76
2008-10-06,37.98,38.54,33.67,33.67,737374,0,-5.44
2008-10-13,32.51,34.91,31.67,31.67,1267111,0,-2.0
2008-10-20,30.67,32.79,28.67,28.67,503399,0,-3.0
2008-10-27,26.67,34.31,26.67,33.19,2232386,0,4.52
2008-11-03,33.43,36.11,32.47,35.15,3070037,0,1.96
2008-11-10,36.15,37.35,31.03,31.03,2134136,0,-4.12
2008-11-17,30.63,32.39,27.99,32.27,1397455342,0,1.24
2008-11-24,32.27,33.59,29.67,32.71,1903199,0,0.44
2008-12-01,32.71,32.87,26.79,27.91,480593327,0,-4.8
2008-12-08,28.39,31.95,28.15,29.19,2889744,0,1.28
2008-12-15,29.99,31.67,29.35,30.71,182669867,0,1.52
2008-12-22,31.03,31.27,27.99,28.95,778902,0,-1.76
2008-12-29,28.95,30.39,28.79,29.59,125845275,0,0.64
2009-01-05,30.47,33.83,30.03,33.11,4933736,0,3.52
2009-01-12,34.15,34.23,31.63,31.99,1987268,0,-1.12
2009-01-19,33.19,33.19,30.39,31.27,678628,0,-0.72
2009-02-02,31.31,33.95,30.87,33.15,1726958,0,1.88
2009-02-09,33.83,35.07,31.63,35.07,3500511,0,1.92
2009-02-16,35.83,39.02,34.79,38.14,10594723,0,3.08
2009-02-23,37.82,41.9,37.66,39.74,6878466,0,1.6
2009-03-02,38.78,41.02,37.58,38.94,4654181,0,-0.8
2009-03-09,39.58,42.78,39.18,41.1,7743466,0,2.16
2009-03-16,41.42,41.58,38.38,38.54,3834761,0,-2.56
2009-03-23,38.42,43.98,38.38,41.9,8657083,0,3.36
2009-03-30,41.98,43.1,40.7,41.98,3587619,0,0.08
2009-04-06,42.54,49.02,41.58,49.02,7805250,0,7.04
2009-04-13,49.18,58.86,48.38,55.02,10185520,0,6.0
2009-04-20,54.86,67.09,53.98,66.45,10397210,0,11.44
2009-04-27,66.77,67.97,57.42,64.21,6413555,0,-2.24
2009-05-04,65.33,71.41,63.17,71.41,7643190,0,7.2
2009-05-11,71.17,76.61,64.53,76.61,7919706,0,5.2
2009-05-18,76.61,98.36,74.45,98.36,7712065,0,21.75
2009-05-25,105.16,114.35,97.16,108.76,13494599,0,10.4
2009-06-01,108.76,116.35,104.36,116.35,9346854,0,7.6
2009-06-08,132.75,132.75,108.36,131.55,17288846,0,15.19
2009-06-15,131.55,134.35,99.16,104.36,11792960,0,-27.19
2009-06-22,104.36,121.55,104.36,118.35,15235739,0,13.99
2009-06-29,122.75,154.74,122.75,154.74,20000327,0,36.39
2009-07-06,149.14,162.34,143.94,148.74,20712380,0,-6.0
2009-07-13,148.74,155.54,138.34,155.54,12178867,0,6.8
2009-07-20,158.63,158.63,139.51,140.73,13460159,0,-14.81
2009-07-27,140.73,142.36,129.34,138.7,13967613,0,-2.03
2009-08-03,137.48,142.77,123.65,130.97,9356984,0,-7.73
2009-08-10,130.16,135.85,117.14,119.58,13194785,0,-11.39
2009-08-17,117.95,117.95,104.94,104.94,8771539,0,-14.64
2009-08-24,106.57,114.7,102.5,113.89,8316756,0,8.95
2009-08-31,114.29,128.53,110.63,123.65,8281304,0,9.76
2009-09-07,123.65,125.28,117.14,122.02,5013754,0,-1.63
2009-09-14,122.02,129.75,118.77,129.75,7359584,0,7.73
2009-09-21,130.97,135.85,123.65,125.28,8925496,0,-4.47
2009-09-28,124.46,125.28,115.51,124.87,8058471,0,-0.41
2009-10-05,124.06,128.12,119.58,121.62,7400099,0,-3.25
2009-10-12,122.02,136.26,117.95,133.0,9020707,0,11.39
2009-10-19,134.22,139.51,126.09,126.9,7044578,0,-6.1
2009-10-26,127.31,130.16,115.92,117.95,4434386,0,-8.95
2009-11-02,113.89,124.46,113.89,120.4,2629433,0,2.44
2009-11-09,121.21,125.28,117.14,123.24,3263497,0,2.85
2009-11-16,123.24,134.22,120.4,131.38,6309227,0,8.13
2009-11-23,131.38,137.48,128.53,128.53,5849379,0,-2.85
2009-11-30,130.16,157.0,130.16,155.78,18412130,0,27.25
2009-12-07,161.07,182.22,159.44,170.83,16363074,0,15.05
2009-12-14,172.46,180.59,158.63,170.02,8944741,0,-0.81
2009-12-21,171.64,196.05,168.8,192.8,15951845,0,22.78
2009-12-28,196.05,226.96,194.42,213.13,18942881,0,20.34
2010-01-04,213.95,231.84,204.18,217.2,19659998,0,4.07
2010-01-11,215.57,261.13,210.69,248.11,23868515,0,30.91
2010-01-18,242.42,260.31,231.84,240.79,18977317,0,-7.32
2010-01-25,243.23,245.67,184.25,211.1,27572617,0,-29.69
2010-02-01,213.13,215.57,179.78,179.78,24462063,0,-31.32
2010-02-08,174.49,195.24,168.39,187.91,13505740,0,8.13
2010-02-22,195.24,199.3,176.53,190.35,23414745,0,2.44
2010-03-01,191.98,202.56,188.32,197.27,13591835,0,6.91
2010-03-08,200.93,208.25,191.17,196.46,14191459,0,-0.81
