date,open,high,low,close,volume,turnover,change
2012-06-18,7.67,7.67,7.67,7.67,0,0,0.0
2012-06-25,7.67,7.67,7.67,7.67,0,0,0.0
2012-07-02,7.67,7.67,7.67,7.67,0,0,0.0
2012-07-09,7.67,7.67,7.67,7.67,0,0,0.0
2012-07-16,7.67,7.67,7.67,7.67,0,0,0.0
2012-07-23,7.59,7.59,7.59,7.59,0,0,-0.08
2012-07-30,7.59,7.59,7.46,7.46,0,0,-0.12
2012-08-06,7.46,7.59,7.46,7.54,0,0,0.08
2012-08-13,7.54,7.54,7.29,7.38,0,0,-0.17
2012-08-20,7.5,7.67,7.5,7.67,0,0,0.29
2012-08-27,7.67,10.98,7.59,10.98,0,0,3.32
2012-09-03,12.02,12.87,11.12,12.66,0,0,1.68
2012-09-10,12.43,12.67,12.03,12.16,0,0,-0.51
2012-09-17,12.34,12.67,12.07,12.33,0,0,0.17
2012-09-24,12.11,12.29,11.98,11.98,0,0,-0.34
2012-10-01,11.98,11.98,11.98,11.98,0,0,0.0
2012-10-08,11.73,11.73,10.35,10.35,0,0,-1.64
2012-10-15,10.35,10.71,9.83,9.91,0,0,-0.43
2012-10-22,9.91,10.13,9.63,9.63,0,0,-0.29
2012-10-29,8.84,9.7,8.84,9.7,0,0,0.07
2012-11-05,10.15,10.39,8.84,9.35,0,0,-0.34
2012-11-12,9.35,9.35,9.35,9.35,0,0,0.0
2012-11-19,9.35,9.35,9.35,9.35,0,0,0.0
2012-11-26,9.31,9.44,9.22,9.35,0,0,0.0
2012-12-03,9.35,9.35,9.22,9.27,0,0,-0.09
2012-12-10,9.48,9.48,9.31,9.48,0,0,0.22
2012-12-17,9.27,9.3,8.84,9.27,0,0,-0.22
2012-12-24,8.78,9.05,8.75,8.75,0,0,-0.52
2012-12-31,9.27,9.48,9.18,9.27,0,0,0.52
2013-01-07,9.27,9.53,9.01,9.48,0,0,0.22
2013-01-14,9.48,9.61,9.38,9.57,0,0,0.09
2013-01-21,9.7,9.83,9.61,9.74,0,0,0.17
2013-01-28,9.91,11.02,9.85,10.73,0,0,0.99
2013-02-04,10.49,10.84,10.49,10.84,0,0,0.11
2013-02-18,11.14,12.25,10.84,11.77,0,0,0.93
2013-02-25,11.77,12.5,11.77,11.94,0,0,0.17
2013-03-04,12.25,13.19,11.9,12.93,0,0,0.99
2013-03-11,12.98,14.65,12.54,13.02,253469,0,0.09
2013-03-18,13.32,15.73,13.15,15.3,213345,0,2.28
