date,open,high,low,close,volume,turnover,change
2007-12-31,44.22,46.75,43.3,44.22,89749,0,0.0
2008-01-07,42.5,43.53,39.63,43.53,74685,0,-0.69
2008-01-14,44.8,45.37,39.86,40.2,99163,0,-3.33
2008-01-21,39.63,39.8,29.86,32.05,153767,0,-8.16
2008-01-28,31.59,31.59,26.76,28.6,171968,0,-3.45
2008-02-11,29.29,33.08,27.11,32.85,155651,0,4.25
2008-02-18,32.62,35.38,32.62,34.57,282432,0,1.72
2008-02-25,34.57,35.03,33.89,34.69,291218,0,0.11
2008-03-03,33.54,37.68,32.85,37.22,392895,0,2.53
2008-03-10,36.93,38.59,33.89,35.49,247284,0,-1.72
2008-03-17,33.66,34.86,32.85,33.66,94141,0,-1.84
2008-03-24,35.95,35.95,33.31,34.34,143097,0,0.69
2008-03-31,34.46,37.85,33.83,37.85,456912,0,3.5
2008-04-07,40.49,43.3,38.25,39.05,1542084,0,1.21
2008-04-14,39.05,41.41,38.02,38.88,742483,0,-0.17
2008-04-21,39.28,41.35,38.54,39.74,1201908,0,0.86
2008-04-28,40.09,44.91,39.97,39.97,2127663,0,0.23
2008-05-05,39.74,44.45,37.22,40.83,1745436,0,0.86
2008-05-12,41.87,41.93,38.31,38.77,643317,0,-2.07
2008-05-19,38.77,39.51,34.75,34.75,530346,0,-4.02
2008-05-26,34.69,34.75,31.13,33.14,451891,0,-1.61
2008-06-02,33.31,36.01,31.65,34.75,505866,0,1.61
2008-06-09,32.51,34.92,26.99,27.57,364651,0,-7.18
2008-06-16,27.97,28.95,25.9,26.71,152511,0,-0.86
2008-06-23,25.96,27.62,24.58,24.58,130544,0,-2.12
2008-06-30,24.58,24.58,19.81,21.82,374065,0,-2.76
2008-07-07,23.32,23.66,20.62,21.94,495198,0,0.11
2008-07-14,21.94,22.05,19.12,19.3,214019,0,-2.64
2008-07-21,19.87,22.94,19.35,21.95,152511,0,2.65
2008-07-28,21.95,21.95,21.95,21.95,0,0,0.0
2008-08-04,21.95,21.95,21.95,21.95,0,0,0.0
