date,open,high,low,close,volume,turnover,change
2015-08-10,58.15,58.15,57.45,57.96,14181,0,0.0
2015-08-17,57.45,57.93,57.45,57.68,3690,0,-0.28
2015-08-24,56.93,57.45,56.93,56.93,20910,0,-0.75
2015-08-31,56.93,56.93,56.93,56.93,0,0,0.0
2015-09-07,56.93,57.45,56.93,57.45,13,0,0.51
2015-09-14,57.45,58.49,57.45,58.49,13591,0,1.04
2015-09-21,58.49,58.49,56.93,56.93,61,0,-1.55
2015-09-28,56.93,57.45,56.93,57.45,1230,0,0.52
2015-10-05,58.44,58.44,58.43,58.44,6150,0,0.98
2015-10-12,58.44,58.44,58.44,58.44,0,0,0.0
2015-10-19,58.44,58.44,58.44,58.44,0,0,0.0
2015-10-26,58.75,58.75,58.74,58.75,6150,0,0.31
2015-11-02,59.52,59.52,57.97,59.52,2461,0,0.78
2015-11-09,59.52,59.52,59.52,59.52,2583,0,0.0
2015-11-16,59.52,61.07,59.52,61.07,12300,0,1.55
2015-11-23,61.07,61.07,60.04,60.04,1230,0,-1.04
2015-11-30,61.85,68.84,59.52,66.77,66236,0,6.73
2015-12-07,63.46,66.72,63.43,64.7,15068,0,-2.07
2015-12-14,64.7,64.7,62.63,62.94,26999,0,-1.76
2015-12-21,63.97,63.97,60.56,60.56,8548,0,-2.38
2015-12-28,60.56,60.56,59.52,59.52,1476,0,-1.04
2016-01-04,58.51,59.0,56.83,56.83,5783,0,-2.69
2016-01-11,56.83,56.83,56.42,56.42,2706,0,-0.41
2016-01-18,57.71,57.71,56.42,57.71,2459,0,1.29
2016-01-25,57.71,57.97,57.71,57.97,1414,0,0.26
2016-02-01,57.97,59.52,57.97,59.52,61,0,1.55
2016-02-15,59.52,59.52,59.52,59.52,1230,0,0.0
2016-02-22,59.52,60.97,59.0,60.97,13038,0,1.45
2016-02-29,60.97,60.97,60.97,60.97,0,0,0.0
2016-03-07,60.04,62.11,59.26,62.11,11316,0,1.14
2016-03-14,63.15,64.69,62.11,62.11,24230,0,0.0
2016-03-21,62.11,71.43,62.11,68.84,37096,0,6.73
2016-03-28,68.32,68.32,64.96,64.96,13530,0,-3.88
2016-04-04,64.96,65.73,64.96,65.73,2460,0,0.78
2016-04-11,65.73,66.51,65.73,66.51,2460,0,0.78
2016-04-18,63.66,65.73,60.82,63.66,39864,0,-2.85
2016-04-25,63.66,76.23,63.66,76.23,299215,0,12.57
2016-05-02,70.9,76.23,67.39,73.5,210776,0,-2.74
2016-05-09,72.45,75.05,66.25,66.25,194019,0,-7.25
2016-05-16,67.02,67.03,63.93,66.77,25950,0,0.52
2016-05-23,64.96,69.72,61.59,65.22,164714,0,-1.55
2016-05-30,65.73,65.73,61.59,61.6,110073,0,-3.62
2016-06-06,61.6,65.38,61.6,65.38,129,0,3.78
2016-06-13,63.15,64.7,60.56,64.7,42122,0,-0.68
2016-06-20,65.21,65.22,60.56,65.22,98759,0,0.52
2016-06-27,65.22,65.38,62.1,65.22,91482,0,0.0
2016-07-04,62.63,65.27,59.99,61.59,102175,0,-3.62
2016-07-11,60.04,63.2,59.01,63.2,64524,0,1.6
2016-07-18,64.29,64.29,61.47,62.56,51353,0,-0.63
